from_id,anbieter,stunde,median_gehzeit,tage_unter_5min,tage_gesamt,anteil_unter_5min,ms_pop
102,Dott,8,2,21,24,88,273
102,Dott,9,2,20,24,83,273
1020,Bolt,6,1,21,23,91,55
1020,Bolt,7,1,20,22,91,55
1020,Bolt,8,1,19,22,86,55
1020,Bolt,9,1,21,23,91,55
1020,Dott,6,1,23,24,96,55
1020,Dott,7,1.5,23,24,96,55
1020,Dott,8,2,22,24,92,55
1020,Dott,9,2,22,24,92,55
1021,Bolt,6,1,20,23,87,79
1021,Bolt,7,1,16,23,70,79
1021,Bolt,8,1,21,24,88,79
1021,Bolt,9,1.5,20,24,83,79
1021,Dott,6,2,20,24,83,79
1021,Dott,7,1,21,24,88,79
1021,Dott,8,2,20,24,83,79
1021,Dott,9,1,23,24,96,79
1022,Bolt,6,1,22,23,96,84
1022,Bolt,7,1,23,24,96,84
1022,Bolt,8,1,20,24,83,84
1022,Bolt,9,2,20,24,83,84
1022,Dott,6,1,23,24,96,84
1022,Dott,7,1,20,24,83,84
1022,Dott,8,1,21,23,91,84
1022,Dott,9,1,22,24,92,84
1023,Bolt,6,1,21,24,88,19
1023,Bolt,7,1.5,20,24,83,19
1023,Bolt,8,1,21,23,91,19
1023,Bolt,9,1,21,23,91,19
1023,Dott,6,1,24,24,100,19
1023,Dott,7,1,21,24,88,19
1023,Dott,8,1,20,24,83,19
1023,Dott,9,1.5,22,24,92,19
1024,Bolt,6,1,19,22,86,78
1024,Bolt,7,2,16,21,76,78
1024,Bolt,8,1,23,24,96,78
1024,Bolt,9,1,23,24,96,78
1024,Dott,6,1,23,24,96,78
1024,Dott,7,1,22,24,92,78
1024,Dott,8,1,22,24,92,78
1024,Dott,9,1,19,24,79,78
1024,Villo (cyclocity/JCDecaux),6,7,0,24,0,78
1024,Villo (cyclocity/JCDecaux),7,7,0,24,0,78
1024,Villo (cyclocity/JCDecaux),8,7,0,24,0,78
1024,Villo (cyclocity/JCDecaux),9,7,0,24,0,78
1025,Bolt,6,1,21,23,91,44
1025,Bolt,7,1,22,23,96,44
1025,Bolt,8,2,20,24,83,44
1025,Bolt,9,1,22,24,92,44
1025,Dott,6,1,22,23,96,44
1025,Dott,7,1,21,24,88,44
1025,Dott,8,1.5,22,24,92,44
1025,Dott,9,1,23,24,96,44
1025,Villo (cyclocity/JCDecaux),6,9,0,24,0,44
1025,Villo (cyclocity/JCDecaux),7,9,0,24,0,44
1025,Villo (cyclocity/JCDecaux),8,9,0,24,0,44
1025,Villo (cyclocity/JCDecaux),9,9,0,24,0,44
1026,Bolt,6,1,20,23,87,62
1026,Bolt,7,1,24,24,100,62
1026,Bolt,8,1.5,20,24,83,62
1026,Bolt,9,1,23,24,96,62
1026,Dott,6,1,22,24,92,62
1026,Dott,7,1,23,24,96,62
1026,Dott,8,2,21,24,88,62
1026,Dott,9,1.5,19,24,79,62
1026,Villo (cyclocity/JCDecaux),6,7,0,24,0,62
1026,Villo (cyclocity/JCDecaux),7,7,0,24,0,62
1026,Villo (cyclocity/JCDecaux),8,7,0,24,0,62
1026,Villo (cyclocity/JCDecaux),9,7,0,24,0,62
1027,Bolt,6,2,23,24,96,70
1027,Bolt,7,1,22,24,92,70
1027,Bolt,8,1,23,24,96,70
1027,Bolt,9,1,20,23,87,70
1027,Dott,6,1,22,23,96,70
1027,Dott,7,1,22,24,92,70
1027,Dott,8,1,22,24,92,70
1027,Dott,9,3,15,23,65,70
1027,Villo (cyclocity/JCDecaux),6,9,0,24,0,70
1027,Villo (cyclocity/JCDecaux),7,9,0,24,0,70
1027,Villo (cyclocity/JCDecaux),8,9,0,24,0,70
1027,Villo (cyclocity/JCDecaux),9,9,0,24,0,70
1028,Bolt,6,1.5,19,24,79,108
1028,Bolt,7,1,21,24,88,108
1028,Bolt,8,3,18,22,82,108
1028,Bolt,9,1.5,23,24,96,108
1028,Dott,6,1,20,24,83,108
1028,Dott,7,1,23,24,96,108
1028,Dott,8,1,21,23,91,108
1028,Dott,9,2,21,24,88,108
1028,Villo (cyclocity/JCDecaux),6,9,0,24,0,108
1028,Villo (cyclocity/JCDecaux),7,9,0,24,0,108
1028,Villo (cyclocity/JCDecaux),8,9,0,24,0,108
1028,Villo (cyclocity/JCDecaux),9,9,0,24,0,108
1029,Bolt,6,1,21,24,88,110
1029,Bolt,7,1,24,24,100,110
1029,Bolt,8,1,19,24,79,110
1029,Bolt,9,2,20,23,87,110
1029,Dott,6,2,19,24,79,110
1029,Dott,7,1,22,24,92,110
1029,Dott,8,1,22,24,92,110
1029,Dott,9,1,22,22,100,110
1029,Villo (cyclocity/JCDecaux),6,6,0,24,0,110
1029,Villo (cyclocity/JCDecaux),7,6,0,24,0,110
1029,Villo (cyclocity/JCDecaux),8,6,0,24,0,110
1029,Villo (cyclocity/JCDecaux),9,6,0,24,0,110
103,Bolt,6,1,19,24,79,58
103,Bolt,7,2,20,24,83,58
103,Bolt,8,1.5,21,24,88,58
103,Bolt,9,1,23,24,96,58
103,Dott,6,2,19,24,79,58
103,Dott,7,2,20,24,83,58
103,Dott,8,1,18,24,75,58
103,Dott,9,1,20,24,83,58
1030,Bolt,6,1,23,23,100,229
1030,Bolt,7,2,20,23,87,229
1030,Bolt,8,1,22,23,96,229
1030,Bolt,9,1,23,24,96,229
1030,Dott,6,1,21,22,95,229
1030,Dott,7,1.5,20,24,83,229
1030,Dott,8,1,23,24,96,229
1030,Dott,9,2,22,23,96,229
1030,Villo (cyclocity/JCDecaux),6,2,24,24,100,229
1030,Villo (cyclocity/JCDecaux),7,2,24,24,100,229
1030,Villo (cyclocity/JCDecaux),8,2,24,24,100,229
1030,Villo (cyclocity/JCDecaux),9,2,24,24,100,229
1031,Bolt,6,1,23,24,96,106
1031,Bolt,7,1,21,23,91,106
1031,Bolt,8,1,24,24,100,106
1031,Bolt,9,1,23,24,96,106
1031,Dott,6,1,21,23,91,106
1031,Dott,7,1,21,24,88,106
1031,Dott,8,1.5,24,24,100,106
1031,Dott,9,2,23,24,96,106
1031,Villo (cyclocity/JCDecaux),6,3,24,24,100,106
1031,Villo (cyclocity/JCDecaux),7,3,24,24,100,106
1031,Villo (cyclocity/JCDecaux),8,3,24,24,100,106
1031,Villo (cyclocity/JCDecaux),9,3,24,24,100,106
1032,Bolt,6,1,21,24,88,26
1032,Bolt,7,1,20,23,87,26
1032,Bolt,8,1,22,24,92,26
1032,Bolt,9,1.5,23,24,96,26
1032,Dott,6,1,22,24,92,26
1032,Dott,7,1,21,24,88,26
1032,Dott,8,1,23,24,96,26
1032,Dott,9,1,21,24,88,26
1032,Villo (cyclocity/JCDecaux),6,10,0,24,0,26
1032,Villo (cyclocity/JCDecaux),7,10,0,24,0,26
1032,Villo (cyclocity/JCDecaux),8,10,0,24,0,26
1032,Villo (cyclocity/JCDecaux),9,10,0,24,0,26
1033,Bolt,6,1,21,24,88,147
1033,Bolt,7,1,21,24,88,147
1033,Bolt,8,1.5,19,24,79,147
1033,Bolt,9,2,23,24,96,147
1033,Dott,6,2,23,24,96,147
1033,Dott,7,1,22,24,92,147
1033,Dott,8,1.5,22,24,92,147
1033,Dott,9,1,21,23,91,147
1033,Villo (cyclocity/JCDecaux),6,4,24,24,100,147
1033,Villo (cyclocity/JCDecaux),7,4,24,24,100,147
1033,Villo (cyclocity/JCDecaux),8,4,24,24,100,147
1033,Villo (cyclocity/JCDecaux),9,4,24,24,100,147
1034,Bolt,6,1,20,23,87,109
1034,Bolt,7,2,20,24,83,109
1034,Bolt,8,1.5,23,24,96,109
1034,Bolt,9,1,20,23,87,109
1034,Dott,6,1,22,23,96,109
1034,Dott,7,1,20,23,87,109
1034,Dott,8,1,22,24,92,109
1034,Dott,9,1,20,24,83,109
1034,Villo (cyclocity/JCDecaux),6,3,24,24,100,109
1034,Villo (cyclocity/JCDecaux),7,3,24,24,100,109
1034,Villo (cyclocity/JCDecaux),8,3,24,24,100,109
1034,Villo (cyclocity/JCDecaux),9,3,24,24,100,109
1035,Bolt,6,1,24,24,100,138
1035,Bolt,7,1.5,20,24,83,138
1035,Bolt,8,1,23,24,96,138
1035,Bolt,9,1,21,24,88,138
1035,Dott,6,1,22,24,92,138
1035,Dott,7,1,23,24,96,138
1035,Dott,8,1,23,23,100,138
1035,Dott,9,1,22,24,92,138
1035,Villo (cyclocity/JCDecaux),6,3,24,24,100,138
1035,Villo (cyclocity/JCDecaux),7,3,24,24,100,138
1035,Villo (cyclocity/JCDecaux),8,3,24,24,100,138
1035,Villo (cyclocity/JCDecaux),9,3,24,24,100,138
1036,Bolt,6,1,20,24,83,20
1036,Bolt,7,1,23,24,96,20
1036,Bolt,8,2,20,23,87,20
1036,Bolt,9,2,21,24,88,20
1036,Dott,6,1,20,24,83,20
1036,Dott,7,1,23,23,100,20
1036,Dott,8,1,22,23,96,20
1036,Dott,9,1,21,22,95,20
1037,Bolt,6,2,21,23,91,26
1037,Bolt,7,1.5,21,24,88,26
1037,Bolt,8,1,21,23,91,26
